stn;time;ths200dx;ths200dn;ths200d0;rre150d0;hto000d0;hns000d0
SAM;19800101;-7.2;-22.2;-13.9;0.1;99;0
SAM;19800102;-9.9;-25.7;-13.9;2.4;99;8
SAM;19800103;-9.6;-11.0;-10.8;0.8;107;2
SAM;19800104;-6.0;-20.6;-13.3;6.4;109;17
SAM;19800105;-3.8;-12.1;-6.2;0.8;125;8
SAM;19800106;-3.4;-16.5;-10.2;0.6;130;3
SAM;19800107;-3.6;-18.1;-8.7;0.4;131;2
SAM;19800108;-10.2;-26.6;-19.2;0.0;129;0
SAM;19800109;-10.0;-27.6;-19.6;0.0;126;0
SAM;19800110;-9.0;-26.5;-15.9;0.0;125;0
SAM;19800111;-10.2;-23.0;-17.9;0.0;124;0
SAM;19800112;-12.9;-31.0;-21.9;0.0;120;0
SAM;19800113;-6.3;-19.9;-15.8;0.0;115;0
SAM;19800114;-4.6;-24.8;-16.2;0.0;109;0
SAM;19800115;-1.6;-17.9;-6.5;0.0;105;0
SAM;19800116;-1.4;-7.6;-3.6;0.0;101;0
SAM;19800117;-2.7;-14.1;-6.2;0.2;94;2
SAM;19800118;-4.0;-18.5;-12.7;0.0;92;0
SAM;19800119;-4.8;-23.2;-16.9;0.0;91;0
SAM;19800120;-4.4;-21.8;-11.2;0.0;90;0
SAM;19800121;-2.6;-20.9;-11.3;0.1;90;2
SAM;19800122;-2.1;-6.3;-3.4;2.9;90;25
SAM;19800123;-1.9;-9.3;-4.2;0.5;112;1
SAM;19800124;5.4;-6.6;-0.2;0.1;104;3
SAM;19800125;0.3;-5.4;-1.5;0.0;91;0
SAM;19800126;-2.7;-21.5;-11.5;0.1;86;1
SAM;19800127;-6.1;-17.7;-10.2;0.1;86;1
SAM;19800128;-2.6;-28.8;-15.4;0.0;85;0
SAM;19800129;0.9;-22.2;-11.6;0.0;81;0
SAM;19800130;0.0;-15.4;-6.7;0.0;80;0
SAM;19800131;0.8;-8.8;-2.0;10.7;80;25
SAM;19800201;-1.4;-13.6;-5.7;0.7;104;3
SAM;19800202;-1.8;-23.6;-10.2;0.1;104;1
SAM;19800203;-1.1;-12.1;-5.8;0.3;105;3
SAM;19800204;4.4;-3.8;-0.1;2.6;105;6
SAM;19800205;7.1;-0.6;3.1;0.2;101;1
SAM;19800206;1.5;-13.9;-6.8;0.0;93;0
SAM;19800207;1.2;-10.1;-4.7;0.0;91;0
SAM;19800208;3.3;-16.1;-8.2;0.0;90;0
SAM;19800209;5.2;-14.5;-5.1;0.0;90;0
SAM;19800210;4.4;-12.3;-4.8;0.2;89;1
SAM;19800211;0.9;-3.6;-2.4;0.0;88;0
SAM;19800212;-0.7;-9.6;-4.5;0.0;84;0
SAM;19800213;0.6;-20.6;-9.4;0.1;83;1
SAM;19800214;-0.2;-12.1;-6.9;0.0;81;0
SAM;19800215;1.5;-19.5;-9.0;0.0;80;0
SAM;19800216;2.9;-17.9;-7.7;0.1;80;1
SAM;19800217;1.1;-9.9;-3.3;0.2;80;2
SAM;19800218;-1.8;-18.7;-10.6;0.0;80;0
SAM;19800219;-2.7;-24.4;-13.5;0.0;78;0
SAM;19800220;-3.8;-23.0;-13.2;0.0;78;0
SAM;19800221;-2.7;-25.4;-15.6;0.0;78;0
SAM;19800222;-3.4;-23.6;-11.8;0.0;78;0
SAM;19800223;2.7;-15.3;-4.9;0.0;78;0
SAM;19800224;2.3;-17.9;-8.5;0.0;77;0
SAM;19800225;2.5;-21.2;-10.5;0.0;77;0
SAM;19800226;4.2;-22.1;-10.0;0.0;76;0
SAM;19800227;4.8;-20.9;-9.6;0.0;73;0
SAM;19800228;2.8;-23.2;-10.2;0.0;72;0
SAM;19800229;1.8;-18.7;-7.1;0.0;70;0
SAM;19800301;8.0;-19.3;-7.2;0.0;69;0
SAM;19800302;6.1;-19.1;-6.8;0.0;68;0
SAM;19800303;-0.2;-11.3;-5.4;0.0;65;0
SAM;19800304;1.4;-21.9;-10.3;0.0;64;0
SAM;19800305;-1.6;-19.0;-8.2;0.0;63;0
SAM;19800306;-1.0;-15.9;-7.3;0.0;62;0
SAM;19800307;0.2;-6.5;-3.6;0.4;61;1
SAM;19800308;0.2;-18.2;-8.2;0.7;60;4
SAM;19800309;-1.4;-6.1;-3.9;0.0;63;0
SAM;19800310;0.4;-6.4;-3.3;0.0;62;0
SAM;19800311;-0.4;-14.4;-6.1;0.2;60;1
SAM;19800312;2.0;-18.2;-9.2;0.1;60;1
SAM;19800313;0.2;-10.9;-4.3;1.7;60;4
SAM;19800314;0.2;-2.8;-1.6;1.4;62;3
SAM;19800315;1.0;-5.4;-3.2;0.0;61;0
SAM;19800316;2.5;-18.7;-5.9;0.0;60;0
SAM;19800317;2.7;-16.7;-6.0;0.0;59;0
SAM;19800318;3.3;-18.3;-6.7;0.0;57;0
SAM;19800319;1.8;-16.7;-6.6;0.0;57;0
SAM;19800320;0.3;-3.4;-2.2;0.9;56;2
SAM;19800321;2.6;-9.5;-3.3;0.0;58;0
SAM;19800322;2.3;-6.6;-1.8;0.0;55;0
SAM;19800323;2.2;-2.1;-1.0;2.2;55;3
SAM;19800324;2.6;-4.6;-1.4;0.0;58;0
SAM;19800325;2.1;-10.1;-4.3;1.0;55;2
SAM;19800326;3.1;-4.2;-0.8;0.1;57;1
SAM;19800327;3.8;-2.5;0.1;0.0;58;0
SAM;19800328;9.4;-3.4;2.2;0.0;55;0
SAM;19800329;5.0;-1.5;1.1;0.0;53;0
SAM;19800330;1.2;-2.2;-1.5;0.0;51;0
SAM;19800331;1.1;-8.5;-3.4;5.3;50;4
SAM;19800401;8.3;-0.6;3.9;0.2;51;0
SAM;19800402;5.4;-6.2;-1.2;0.0;45;0
SAM;19800403;-2.7;-5.2;-4.8;0.6;40;1
SAM;19800404;-1.8;-4.6;-4.7;0.0;40;0
SAM;19800405;-1.6;-16.9;-8.8;0.0;40;0
SAM;19800406;-0.7;-14.9;-7.8;0.0;39;0
SAM;19800407;3.3;-16.6;-6.0;0.0;38;0
SAM;19800408;1.0;-9.8;-4.5;0.2;33;1
SAM;19800409;-1.7;-12.1;-7.2;0.3;33;1
SAM;19800410;-0.7;-13.8;-6.6;0.0;33;0
SAM;19800411;3.7;-16.4;-5.7;0.0;33;0
SAM;19800412;4.6;-13.6;-3.9;0.0;30;0
SAM;19800413;3.8;-10.5;-3.5;0.0;27;0
SAM;19800414;5.5;-9.7;-2.1;0.0;25;0
SAM;19800415;4.2;-7.1;-1.3;0.0;24;0
SAM;19800416;6.0;0.6;2.3;0.9;23;0
SAM;19800417;5.4;1.2;2.4;3.8;20;0
SAM;19800418;7.2;1.4;2.7;0.0;20;0
SAM;19800419;6.0;1.2;3.2;0.0;18;0
SAM;19800420;-0.3;-3.8;-3.5;0.0;16;0
